"Version Year","IUSA Number","Company Name","Executive First Name","Executive Last Name","Executive Title","Executive Gender","Address","City","State","ZIP Code","ZIP Four","County","Phone Number Combined","Primary SIC Code","Primary SIC Description","SIC Code 1","SIC Code 1 Description","SIC Code 1 Ad Size","SIC Code 1 Year Appeared","SIC Code 2","SIC Code 2 Description","SIC Code 3","SIC Code 3 Description","SIC Code 4","SIC Code 4 Description","SIC Code 5","SIC Code 5 Description","SIC Code 6","SIC Code 6 Description","SIC Code 7","SIC Code 7 Description","SIC Code 8","SIC Code 8 Description","SIC Code 9","SIC Code 9 Description","SIC Code 10","SIC Code 10 Description","Primary NAICS","Primary NAICS Description","NAICS 1","NAICS 1 Description","NAICS 2","NAICS 2 Description","NAICS 3","NAICS 3 Description","NAICS 4","NAICS 4 Description","NAICS 5","NAICS 5 Description","NAICS 6","NAICS 6 Description","NAICS 7","NAICS 7 Description","NAICS 8","NAICS 8 Description","NAICS 9","NAICS 9 Description","NAICS 10","NAICS 10 Description","Location Employee Size Range","Location Employee Size Actual","Location Sales Volume Range","Location Sales Volume Actual","Type of Business","Location Type","Parent IUSA Number","Subsidiary IUSA Number","Firm or Individual","Record Type","Corporate Employee Size Actual","Corporate Sales Volume Actual","Years In Database","Year Established","Home Business"
"2021","72-344-1867","Quatro Pizza","","","","","328 Curry Hollow Rd","Pittsburgh","PA","15236","4621","Allegheny","(412) 943-1900","581208","Restaurants","581208","Restaurants","","","581222","Pizza","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","72251115","Full-Service Restaurants","","","","","","","","","","","","","","","","","5 to 9","00008","$500,000 - 1 Million","$559,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","6","","No"
"2021","53-350-3157","Quick Pizza & Go","Harry","Thajkar","Owner","Male","3565 Harts Run Rd","Pittsburgh","PA","15238","1163","Allegheny","(412) 963-1680","581222","Pizza","581222","Pizza","","","541103","Convenience Stores","554101","Service Stations-Gasoline & Oil","581206","Foods-Carry Out","","","","","","","","","","","","","72251115","Full-Service Restaurants","72251115","Full-Service Restaurants","44513101","","45712003","","72251301","Limited-Service Restaurants","","","","","","","","","","","","","1 to 4","00004","Less Than $500,000","$203,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","24","","No"
"2020","37-476-0221","Quiznos","Jeff","Dille","Owner","Male","300 S Craig St # 1","Pittsburgh","PA","15213","3728","Allegheny","(412) 622-7200","581208","Restaurants","581208","Restaurants","","","581206","Foods-Carry Out","596104","","581219","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","72251301","Limited-Service Restaurants","","","","","","","","","","","","","","","","","10 to 19","00018","$500,000 - 1 Million","$914,000","Private","Branch","724174724","478909831","2","Verified","000000","$0","18","","No"
"2021","37-476-0221","Quiznos","Jeff","Dille","Owner","Male","300 S Craig St # 1","Pittsburgh","PA","15213","3728","Allegheny","(412) 622-7200","581208","Restaurants","581208","Restaurants","","","581206","Foods-Carry Out","596104","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","72251301","Limited-Service Restaurants","","","","","","","","","","","","","","","","","10 to 19","00018","$500,000 - 1 Million","$914,000","Private","Branch","724174724","478909831","2","Verified","000000","$0","18","","No"
"2019","37-476-0221","Quiznos","Jeff","Dille","Owner","Male","300 S Craig St # 1","Pittsburgh","PA","15213","3728","Allegheny","(412) 622-7200","581208","Restaurants","581208","Restaurants","","","581209","","581219","","581206","Foods-Carry Out","596104","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","","","","","72251301","Limited-Service Restaurants","","","","","","","","","","","","","10 to 19","00018","$500,000 - 1 Million","$914,000","Private","Branch","724174724","478909831","2","Verified","000000","$0","18","","No"
"2021","41-543-6919","R & B Bistro & Pub","","","","","826 E Warrington Ave","Pittsburgh","PA","15210","1560","Allegheny","(412) 251-0545","581208","Restaurants","581208","Restaurants","","","581301","Bars","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","72241001","Drinking Places (Alcoholic Beverages)","","","","","","","","","","","","","","","","","5 to 9","00008","Less Than $500,000","$406,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","12","","No"
"2020","41-543-6919","R & B Bistro & Pub","","","","","826 E Warrington Ave","Pittsburgh","PA","15210","1560","Allegheny","(412) 251-0545","581208","Restaurants","581208","Restaurants","","","581301","Bars","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","72241001","Drinking Places (Alcoholic Beverages)","","","","","","","","","","","","","","","","","5 to 9","00008","Less Than $500,000","$406,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","12","","No"
"2019","41-543-6919","R & B Bistro & Pub","","","","","826 E Warrington Ave","Pittsburgh","PA","15210","1560","Allegheny","(412) 251-0545","581208","Restaurants","581208","Restaurants","","","581301","Bars","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","72241001","Drinking Places (Alcoholic Beverages)","","","","","","","","","","","","","","","","","5 to 9","00008","Less Than $500,000","$406,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","12","","No"
"2021","40-183-0061","R Bar","Debi","Hodill","Owner","Female","2883 W Liberty Ave # 2","Pittsburgh","PA","15216","2627","Allegheny","(412) 942-0882","581301","Bars","581301","Bars","","","581303","Cocktail Lounges","","","","","","","","","","","","","","","","","72241001","Drinking Places (Alcoholic Beverages)","72241001","Drinking Places (Alcoholic Beverages)","72241003","Drinking Places (Alcoholic Beverages)","","","","","","","","","","","","","","","","","1 to 4","00003","Less Than $500,000","$176,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","13","","No"
"2020","40-183-0061","R Bar","Debi","Hodill","Owner","Female","2883 W Liberty Ave # 2","Pittsburgh","PA","15216","2627","Allegheny","(412) 942-0882","581301","Bars","581301","Bars","","","581303","Cocktail Lounges","","","","","","","","","","","","","","","","","72241001","Drinking Places (Alcoholic Beverages)","72241001","Drinking Places (Alcoholic Beverages)","72241003","Drinking Places (Alcoholic Beverages)","","","","","","","","","","","","","","","","","1 to 4","00003","Less Than $500,000","$176,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","13","","No"
"2019","40-183-0061","R Bar","Debi","Hodill","Owner","Female","2883 W Liberty Ave","Pittsburgh","PA","15216","2627","Allegheny","(412) 942-0882","581301","Bars","581301","Bars","","","581303","Cocktail Lounges","","","","","","","","","","","","","","","","","72241001","Drinking Places (Alcoholic Beverages)","72241001","Drinking Places (Alcoholic Beverages)","72241003","Drinking Places (Alcoholic Beverages)","","","","","","","","","","","","","","","","","1 to 4","00003","Less Than $500,000","$176,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","13","","No"
"2021","74-772-8530","Rally's Hamburgers","","","","","11749 Frankstown Rd","Pittsburgh","PA","15235","0000","Allegheny","(412) 214-1099","581208","Restaurants","581208","Restaurants","","","581206","Foods-Carry Out","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","72251301","Limited-Service Restaurants","","","","","","","","","","","","","","","","","100 to 249","00195","$5 - 10 Million","$9,896,000","Private","Branch","433580917","423834878","2","Verified","000000","$0","3","","No"
"2020","74-772-8530","Rally's Hamburgers","","","","","11749 Frankstown Rd","Pittsburgh","PA","15235","0000","Allegheny","(412) 241-1099","581208","Restaurants","581208","Restaurants","","","581206","Foods-Carry Out","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","72251301","Limited-Service Restaurants","","","","","","","","","","","","","","","","","100 to 249","00195","","$0","Private","Branch","433580917","423834878","2","Verified","000000","$0","3","","No"
"2021","42-374-8909","Raman Bar","Leon","Chiang","Manager","Male","5860 Forbes Ave","Pittsburgh","PA","15217","1602","Allegheny","(412) 521-5138","581208","Restaurants","581208","Restaurants","","","581301","Bars","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","72241001","Drinking Places (Alcoholic Beverages)","","","","","","","","","","","","","","","","","5 to 9","00008","Less Than $500,000","$406,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","11","2013","No"
"2020","42-374-8909","Raman Bar","Leon","Chiang","Manager","Male","5860 Forbes Ave","Pittsburgh","PA","15217","1602","Allegheny","(412) 521-5138","581208","Restaurants","581208","Restaurants","","","581301","Bars","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","72241001","Drinking Places (Alcoholic Beverages)","","","","","","","","","","","","","","","","","5 to 9","00008","Less Than $500,000","$406,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","11","2013","No"
"2019","42-374-8909","Raman Bar","Leon","Chiang","Manager","Male","5860 Forbes Ave","Pittsburgh","PA","15217","1602","Allegheny","(412) 521-5138","581208","Restaurants","581208","Restaurants","","","581301","Bars","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","72241001","Drinking Places (Alcoholic Beverages)","","","","","","","","","","","","","","","","","5 to 9","00008","Less Than $500,000","$406,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","11","2013","No"
"2021","11-847-5474","Rania's","Rania","Harris","Owner","Female","100 Central Sq","Pittsburgh","PA","15228","2361","Allegheny","(412) 531-2222","581208","Restaurants","581208","Restaurants","","","581212","Caterers","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","72232001","Caterers","","","","","","","","","","","","","","","","","10 to 19","00010","$500,000 - 1 Million","$508,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","38","","No"
"2020","11-847-5474","Rania's","Rania","Harris","Owner","Female","100 Central Sq","Pittsburgh","PA","15228","2361","Allegheny","(412) 531-2222","581208","Restaurants","581208","Restaurants","","","581212","Caterers","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","72232001","Caterers","","","","","","","","","","","","","","","","","10 to 19","00010","$500,000 - 1 Million","$508,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","38","","No"
"2019","11-847-5474","Rania's","Rania","Harris","Owner","Female","100 Central Sq","Pittsburgh","PA","15228","2361","Allegheny","(412) 531-2222","581208","Restaurants","581208","Restaurants","","","581212","Caterers","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","72232001","Caterers","","","","","","","","","","","","","","","","","10 to 19","00010","$500,000 - 1 Million","$508,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","38","","No"
"2021","40-423-6343","Razzy Fresh","James","Chang","Owner","Male","300 S Craig St","Pittsburgh","PA","15213","3728","Allegheny","(412) 681-0515","581203","Ice Cream Parlors","581203","Ice Cream Parlors","","","581208","Restaurants","","","","","","","","","","","","","","","","","72251512","Snack And Nonalcoholic Beverage Bars","72251512","Snack And Nonalcoholic Beverage Bars","72251117","Full-Service Restaurants","","","","","","","","","","","","","","","","","1 to 4","00001","Less Than $500,000","$51,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","12","","No"
"2020","40-423-6343","Razzy Fresh","James","Chang","Owner","Male","300 S Craig St","Pittsburgh","PA","15213","3728","Allegheny","(412) 681-0515","581203","Ice Cream Parlors","581203","Ice Cream Parlors","","","581208","Restaurants","","","","","","","","","","","","","","","","","72251512","Snack And Nonalcoholic Beverage Bars","72251512","Snack And Nonalcoholic Beverage Bars","72251117","Full-Service Restaurants","","","","","","","","","","","","","","","","","1 to 4","00001","Less Than $500,000","$51,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","12","","No"
"2019","40-423-6343","Razzy Fresh","James","Chang","Owner","Male","300 S Craig St","Pittsburgh","PA","15213","3728","Allegheny","(412) 681-0515","581203","Ice Cream Parlors","581203","Ice Cream Parlors","","","581208","Restaurants","","","","","","","","","","","","","","","","","72251512","Snack And Nonalcoholic Beverage Bars","72251512","Snack And Nonalcoholic Beverage Bars","72251117","Full-Service Restaurants","","","","","","","","","","","","","","","","","1 to 4","00001","Less Than $500,000","$51,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","12","","No"
"2021","41-538-1466","Red Beard's LLC","Lenny","Semplice","Owner","Male","201 Shiloh St","Pittsburgh","PA","15211","1640","Allegheny","(412) 431-3730","581208","Restaurants","581208","Restaurants","","","581301","Bars","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","72241001","Drinking Places (Alcoholic Beverages)","","","","","","","","","","","","","","","","","10 to 19","00012","$500,000 - 1 Million","$609,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","26","","No"
"2020","41-538-1466","Red Beard's LLC","Lenny","Semplice","Owner","Male","201 Shiloh St","Pittsburgh","PA","15211","1640","Allegheny","(412) 431-3730","581208","Restaurants","581208","Restaurants","","","581301","Bars","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","72241001","Drinking Places (Alcoholic Beverages)","","","","","","","","","","","","","","","","","10 to 19","00012","$500,000 - 1 Million","$609,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","26","","No"
"2020","42-598-9546","Red Beards On","Scott","Collins","Manager","Male","144 6th St","Pittsburgh","PA","15222","3312","Allegheny","(412) 261-2324","581208","Restaurants","581208","Restaurants","","","","","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","","","","","","","","","","","","","","","","","","","5 to 9","00008","Less Than $500,000","$406,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","10","","No"
"2019","42-598-9546","Red Beards On","Scott","Collins","Manager","Male","144 6th St","Pittsburgh","PA","15222","3312","Allegheny","(412) 261-2324","581208","Restaurants","581208","Restaurants","","","","","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","","","","","","","","","","","","","","","","","","","5 to 9","00008","Less Than $500,000","$406,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","10","","No"
"2021","83-190-8710","Red Lobster","Jim","Heckert","General Mgr","Male","6150 Robinson Center Dr","Pittsburgh","PA","15205","4860","Allegheny","(412) 809-0482","581208","Restaurants","581208","Restaurants","","","581206","Foods-Carry Out","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","72251301","Limited-Service Restaurants","","","","","","","","","","","","","","","","","50 to 99","00096","$2.5 - 5 Million","$4,872,000","Private","Branch","238137798","000000000","2","Verified","000000","$0","36","","No"
"2020","83-190-8710","Red Lobster","Jim","Heckert","General Mgr","Male","6150 Robinson Center Dr","Pittsburgh","PA","15205","4860","Allegheny","(412) 809-0482","581208","Restaurants","581208","Restaurants","","","581206","Foods-Carry Out","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","72251301","Limited-Service Restaurants","","","","","","","","","","","","","","","","","50 to 99","00096","$2.5 - 5 Million","$4,872,000","Private","Branch","269818431","238137798","2","Verified","000000","$0","36","","No"
"2019","83-190-8710","Red Lobster","Jim","Heckert","General Mgr","Male","6150 Robinson Center Dr","Pittsburgh","PA","15205","4860","Allegheny","(412) 809-0482","581208","Restaurants","581208","Restaurants","","","581206","Foods-Carry Out","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","72251301","Limited-Service Restaurants","","","","","","","","","","","","","","","","","50 to 99","00096","$2.5 - 5 Million","$4,872,000","Private","Branch","269818431","238137798","2","Verified","000000","$0","36","","No"
"2019","11-852-9742","Red Lobster","Shah","Khalil","Manager","Male","4766 Mcknight Rd","Pittsburgh","PA","15237","3416","Allegheny","(412) 367-2998","581208","Restaurants","581208","Restaurants","","","581206","Foods-Carry Out","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","72251301","Limited-Service Restaurants","","","","","","","","","","","","","","","","","50 to 99","00080","$2.5 - 5 Million","$4,060,000","Private","Branch","269818431","238137798","2","Verified","000000","$0","39","","No"
"2021","11-852-9742","Red Lobster","Shah","Khalil","Manager","Male","4766 Mcknight Rd","Pittsburgh","PA","15237","3416","Allegheny","(412) 367-2998","581208","Restaurants","581208","Restaurants","","","581206","Foods-Carry Out","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","72251301","Limited-Service Restaurants","","","","","","","","","","","","","","","","","50 to 99","00080","$2.5 - 5 Million","$4,060,000","Private","Branch","238137798","000000000","2","Verified","000000","$0","39","","No"
"2020","11-852-9742","Red Lobster","Shah","Khalil","Manager","Male","4766 Mcknight Rd","Pittsburgh","PA","15237","3416","Allegheny","(412) 367-2998","581208","Restaurants","581208","Restaurants","","","581206","Foods-Carry Out","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","72251301","Limited-Service Restaurants","","","","","","","","","","","","","","","","","50 to 99","00080","$2.5 - 5 Million","$4,060,000","Private","Branch","269818431","238137798","2","Verified","000000","$0","39","","No"
"2021","11-851-4884","Red Lobster","Jim","Heckert","General Mgr","Male","259 Clairton Blvd","Pittsburgh","PA","15236","1497","Allegheny","(412) 653-3552","581208","Restaurants","581208","Restaurants","","","581206","Foods-Carry Out","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","72251301","Limited-Service Restaurants","","","","","","","","","","","","","","","","","50 to 99","00090","$2.5 - 5 Million","$4,568,000","Private","Branch","238137798","000000000","2","Verified","000000","$0","39","","No"
"2020","11-851-4884","Red Lobster","Jim","Heckert","General Mgr","Male","259 Clairton Blvd","Pittsburgh","PA","15236","1497","Allegheny","(412) 653-3552","581208","Restaurants","581208","Restaurants","","","581206","Foods-Carry Out","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","72251301","Limited-Service Restaurants","","","","","","","","","","","","","","","","","50 to 99","00090","$2.5 - 5 Million","$4,568,000","Private","Branch","269818431","238137798","2","Verified","000000","$0","39","","No"
"2019","11-851-4884","Red Lobster","Jim","Heckert","General Mgr","Male","259 Clairton Blvd","Pittsburgh","PA","15236","1497","Allegheny","(412) 653-3552","581208","Restaurants","581208","Restaurants","","","581206","Foods-Carry Out","","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","72251301","Limited-Service Restaurants","","","","","","","","","","","","","","","","","50 to 99","00090","$2.5 - 5 Million","$4,568,000","Private","Branch","269818431","238137798","2","Verified","000000","$0","39","","No"
"2021","40-197-5392","Red Robin Gourmet Burgers","Tracy","Synder","Site Manager","Female","1230 Settlers Ridge Center Dr","Pittsburgh","PA","15205","1440","Allegheny","(412) 490-5180","581208","Restaurants","581208","Restaurants","","","581206","Foods-Carry Out","596104","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","72251301","Limited-Service Restaurants","","","","","","","","","","","","","","","","","50 to 99","00080","$2.5 - 5 Million","$4,060,000","Private","Branch","452169048","000000000","2","Verified","000000","$0","13","","No"
"2021","40-197-5415","Red Robin Gourmet Burgers","","","","","301 S Hills Vlg","Pittsburgh","PA","15241","1400","Allegheny","(412) 831-5610","581208","Restaurants","581208","Restaurants","","","581206","Foods-Carry Out","596104","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","72251301","Limited-Service Restaurants","","","","","","","","","","","","","","","","","50 to 99","00080","$2.5 - 5 Million","$4,060,000","Private","Branch","452169048","000000000","2","Verified","000000","$0","13","","No"
"2020","40-197-5415","Red Robin Gourmet Burgers","","","","","301 S Hills Vlg","Pittsburgh","PA","15241","1400","Allegheny","(412) 831-5610","581208","Restaurants","581208","Restaurants","","","581206","Foods-Carry Out","596104","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","72251301","Limited-Service Restaurants","","","","","","","","","","","","","","","","","50 to 99","00080","$2.5 - 5 Million","$4,060,000","Private","Branch","452169048","000000000","2","Verified","000000","$0","13","","No"
"2019","40-197-5415","Red Robin Gourmet Burgers","","","","","301 S Hills Vlg","Pittsburgh","PA","15241","1400","Allegheny","(412) 831-5610","581208","Restaurants","581208","Restaurants","","","581206","Foods-Carry Out","596104","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","72251301","Limited-Service Restaurants","","","","","","","","","","","","","","","","","50 to 99","00080","$2.5 - 5 Million","$4,060,000","Private","Branch","452169048","000000000","2","Verified","000000","$0","13","","No"
"2020","40-197-5392","Red Robin Gourmet Burgers","Tracy","Synder","Site Manager","Female","1230 Settlers Ridge Center Dr","Pittsburgh","PA","15205","1440","Allegheny","(412) 490-5180","581208","Restaurants","581208","Restaurants","","","581206","Foods-Carry Out","596104","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","72251301","Limited-Service Restaurants","","","","","","","","","","","","","","","","","50 to 99","00080","$2.5 - 5 Million","$4,060,000","Private","Branch","452169048","000000000","2","Verified","000000","$0","13","","No"
"2019","40-197-5392","Red Robin Gourmet Burgers","Joe","Krydick","General Mgr","Male","1230 Settlers Ridge Center Dr","Pittsburgh","PA","15205","1440","Allegheny","(412) 490-5180","581208","Restaurants","581208","Restaurants","","","581206","Foods-Carry Out","596104","","","","","","","","","","","","","","","","72251117","Full-Service Restaurants","72251117","Full-Service Restaurants","72251301","Limited-Service Restaurants","","","","","","","","","","","","","","","","","50 to 99","00080","$2.5 - 5 Million","$4,060,000","Private","Branch","452169048","000000000","2","Verified","000000","$0","13","","No"
